Year,President,Vice President,Major Decision
1980,Jimmy Carter,Walter Mondale,Iran hostage crisis negotiations
1981,Ronald Reagan,George H.W. Bush,Economic Recovery Tax Act
1982,Ronald Reagan,George H.W. Bush,Strategic Defense Initiative announcement
1983,Ronald Reagan,George H.W. Bush,Invasion of Grenada
1984,Ronald Reagan,George H.W. Bush,Normalized relations with China
1985,Ronald Reagan,George H.W. Bush,Geneva Summit with Gorbachev
1986,Ronald Reagan,George H.W. Bush,Tax Reform Act
1987,Ronald Reagan,George H.W. Bush,Intermediate-Range Nuclear Forces Treaty
1988,Ronald Reagan,George H.W. Bush,Immigration Reform and Control Act
1989,George H.W. Bush,Dan Quayle,Berlin Wall response
1990,George H.W. Bush,Dan Quayle,Americans with Disabilities Act
1991,George H.W. Bush,Dan Quayle,Operation Desert Storm
1992,George H.W. Bush,Dan Quayle,NAFTA negotiations
1993,Bill Clinton,Al Gore,Economic stimulus package
1994,Bill Clinton,Al Gore,Crime Bill and assault weapons ban
1995,Bill Clinton,Al Gore,Welfare reform initiatives
1996,Bill Clinton,Al Gore,Telecommunications Act
1997,Bill Clinton,Al Gore,Balanced Budget Act
1998,Bill Clinton,Al Gore,Monica Lewinsky scandal response
1999,Bill Clinton,Al Gore,Kosovo War intervention
2000,Bill Clinton,Al Gore,China trade relations normalization
2001,George W. Bush,Dick Cheney,Response to September 11 attacks
2002,George W. Bush,Dick Cheney,Department of Homeland Security creation
2003,George W. Bush,Dick Cheney,Iraq War invasion
2004,George W. Bush,Dick Cheney,9/11 Commission Report response
2005,George W. Bush,Dick Cheney,Social Security reform proposal
2006,George W. Bush,Dick Cheney,Immigration reform attempts
2007,George W. Bush,Dick Cheney,Iraq War surge strategy
2008,George W. Bush,Dick Cheney,Financial crisis response
2009,Barack Obama,Joe Biden,American Recovery and Reinvestment Act
2010,Barack Obama,Joe Biden,Affordable Care Act
2011,Barack Obama,Joe Biden,Osama bin Laden raid
2012,Barack Obama,Joe Biden,DACA immigration policy
2013,Barack Obama,Joe Biden,Syria red line crisis
2014,Barack Obama,Joe Biden,ISIS response strategy
2015,Barack Obama,Joe Biden,Iran nuclear deal
2016,Barack Obama,Joe Biden,Paris Climate Agreement
2017,Donald Trump,Mike Pence,Travel ban executive order
2018,Donald Trump,Mike Pence,Tax Cuts and Jobs Act
2019,Donald Trump,Mike Pence,Trade war with China
2020,Donald Trump,Mike Pence,COVID-19 pandemic response
2021,Joe Biden,Kamala Harris,American Rescue Plan Act
2022,Joe Biden,Kamala Harris,Infrastructure Investment and Jobs Act
2023,Joe Biden,Kamala Harris,CHIPS and Science Act
2024,Joe Biden,Kamala Harris,Climate change initiatives